match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8710019404,1772286964,59,0,0.55,0.55,1.0,0.6667,0.7647,0.8462,0.75,0.6,0.6667,0.3333,1.0,0.8
8710135523,1772291096,59,0,0.55,0.55,0.5,0.4,0.5,0.5,0.5,0.8182,0.7778,1.0,1.0,0.8
8710260672,1772295835,59,0,0.5,0.55,0.6364,0.5,0.8,0.5,0.6364,0.6,0.8571,0.625,1.0,0.8182
8710371476,1772300335,59,0,0.8,0.6,0.6667,0.6667,0.6,0.75,0.5,0.5,1.0,0.75,0.8333,1.0
8710481024,1772305014,59,1,0.65,0.75,0.6667,0.8,1.0,0.75,0.8571,0.3333,1.0,0.5,0.6667,1.0
8711465051,1772366096,59,1,0.55,0.7,0.8333,0.8667,1.0,1.0,0.8,1.0,0.6667,0.0,0.8,0.6
8711578057,1772370355,59,1,0.55,0.65,0.75,0.875,0.75,1.0,1.0,1.0,0.5714,0.6,0.5,0.6667
8711768658,1772376899,59,0,0.55,0.7,0.6364,0.625,1.0,0.7857,1.0,0.5,0.8182,0.5,1.0,0.875
8711885801,1772381334,59,0,0.55,0.7,0.8571,0.8824,0.5,1.0,0.8182,0.625,0.6364,0.5714,0.8462,0.5
8711970053,1772384823,59,1,0.5,0.75,1.0,0.7895,0.7222,0.6667,0.75,1.0,0.8333,0.5,0.8,0.3333
8712056091,1772388652,59,1,0.7,0.5,0.6,1.0,0.625,0.0,0.8889,0.8,0.8,0.7778,0.8333,0.8333
8719042091,1772870432,59,1,,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8719042141,1772870443,59,0,,0.45,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1.0,0.5556
8719103631,1772874493,59,1,0.4,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8719115659,1772875086,59,0,0.0,0.45,0.0,0.5,0.5,0.5,0.3333,1.0,0.4,0.0,1.0,1.0
8719172949,1772878342,59,1,0.5,0.4,0.5,0.5,0.5,1.0,0.5,0.5,0.6667,0.6667,0.3333,0.5
8719206511,1772880352,59,1,0.5,0.25,0.5,0.7619,0.5,1.0,0.5,0.5,0.5,0.3333,0.5,0.6667
8719267986,1772883841,59,0,0.5,0.45,0.5833,0.5,0.5,0.4286,0.5,0.0,0.25,0.5,0.5,0.5
8719282248,1772884399,59,0,0.25,0.5,0.0,1.0,0.3,0.5,0.5,0.5,0.5,0.7368,1.0,0.5
8719366143,1772888318,59,1,0.5,0.45,0.5,0.75,0.6667,1.0,0.5,0.0,0.0,1.0,1.0,1.0
8719372411,1772888606,59,0,,0.5,0.5,0.5,0.5,0.5,0.5,0.6667,0.75,0.5,0.6667,1.0
8719471475,1772892604,59,0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.4,0.5,0.7,0.6667
8719473100,1772892612,59,0,0.55,0.4,0.5385,0.8,1.0,0.5,0.5833,1.0,0.5,0.5,0.0,0.0
8719587905,1772897060,59,0,0.4,,0.6667,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8719592821,1772897274,59,1,0.4,0.6,0.25,0.0,0.75,1.0,0.0,0.5,0.3333,0.8,0.5,0.5
8719688162,1772901372,59,0,0.45,0.55,0.0,0.5,1.0,0.5,0.6,0.75,0.8889,0.5,0.5,1.0
